strikePrice,expiryDate,impliedVolatility
18500,26-Dec-2024,45.35
22500,31-Oct-2024,32.08
23000,31-Oct-2024,27.73
23000,26-Dec-2024,12.69
23100,31-Oct-2024,28.83
23200,24-Oct-2024,32.82
23300,31-Oct-2024,22.75
23500,24-Oct-2024,26.5
23500,31-Oct-2024,22.94
23500,28-Nov-2024,12.97
23500,26-Dec-2024,12.55
23600,24-Oct-2024,24.81
23700,24-Oct-2024,25.24
23700,31-Oct-2024,19.95
23800,24-Oct-2024,22.66
23800,31-Oct-2024,18.54
23800,28-Nov-2024,10.88
23850,24-Oct-2024,16.57
23850,31-Oct-2024,15.46
23900,31-Oct-2024,18.97
23950,31-Oct-2024,18.43
23950,28-Nov-2024,13.87
24000,24-Oct-2024,20.33
24000,31-Oct-2024,18.02
24000,07-Nov-2024,13.42
24000,28-Nov-2024,13.5
24000,26-Dec-2024,13.23
24000,27-Mar-2025,8.43
24050,24-Oct-2024,20.13
24050,31-Oct-2024,14.84
24050,28-Nov-2024,12.54
24100,24-Oct-2024,19.27
24100,31-Oct-2024,16.82
24100,28-Nov-2024,12.77
24150,24-Oct-2024,17.39
24150,31-Oct-2024,15.36
24200,24-Oct-2024,17.83
24200,31-Oct-2024,15.39
24200,28-Nov-2024,13.94
24200,26-Dec-2024,7.72
24250,24-Oct-2024,16.58
24250,31-Oct-2024,15.9
24250,28-Nov-2024,14.07
24250,26-Dec-2024,9.96
24300,24-Oct-2024,16.06
24300,31-Oct-2024,14.68
24300,07-Nov-2024,15.56
24300,28-Nov-2024,11.97
24300,26-Dec-2024,10.53
24350,24-Oct-2024,15.21
24350,31-Oct-2024,15.5
24350,28-Nov-2024,13.47
24350,26-Dec-2024,9.52
24400,24-Oct-2024,15.06
24400,31-Oct-2024,14.34
24400,07-Nov-2024,13.52
24400,28-Nov-2024,13.33
24400,26-Dec-2024,12.96
24450,24-Oct-2024,14.69
24450,31-Oct-2024,13.9
24450,07-Nov-2024,13.49
24450,28-Nov-2024,13.15
24450,26-Dec-2024,9.05
24500,24-Oct-2024,14.09
24500,31-Oct-2024,13.96
24500,07-Nov-2024,13.75
24500,14-Nov-2024,14.22
24500,28-Nov-2024,13.25
24500,26-Dec-2024,12.74
24550,24-Oct-2024,13.61
24550,31-Oct-2024,13.46
24550,28-Nov-2024,12.83
24550,26-Dec-2024,10.43
24600,24-Oct-2024,13.12
24600,31-Oct-2024,13.24
24600,07-Nov-2024,13.96
24600,28-Nov-2024,12.97
24600,26-Dec-2024,12.45
24650,24-Oct-2024,12.71
24650,31-Oct-2024,12.79
24650,07-Nov-2024,13.42
24650,14-Nov-2024,11.99
24650,28-Nov-2024,12.97
24650,26-Dec-2024,12.34
24700,24-Oct-2024,12.03
24700,31-Oct-2024,12.67
24700,07-Nov-2024,13.24
24700,14-Nov-2024,13.51
24700,28-Nov-2024,12.69
24700,26-Dec-2024,12.4
24750,24-Oct-2024,11.64
24750,31-Oct-2024,11.55
24750,07-Nov-2024,12.98
24750,14-Nov-2024,12.64
24750,21-Nov-2024,13.14
24750,28-Nov-2024,12.71
24750,26-Dec-2024,12.4
24800,24-Oct-2024,11.48
24800,31-Oct-2024,12.15
24800,07-Nov-2024,13.06
24800,14-Nov-2024,13.45
24800,21-Nov-2024,12.38
24800,28-Nov-2024,12.67
24800,26-Dec-2024,12.58
24850,24-Oct-2024,11.06
24850,31-Oct-2024,11.88
24850,07-Nov-2024,12.96
24850,14-Nov-2024,10.67
24850,21-Nov-2024,13.52
24850,28-Nov-2024,12.73
24850,26-Dec-2024,12.48
24900,24-Oct-2024,10.97
24900,31-Oct-2024,11.74
24900,07-Nov-2024,12.51
24900,14-Nov-2024,12.97
24900,28-Nov-2024,12.56
24900,26-Dec-2024,12.44
24950,24-Oct-2024,10.66
24950,31-Oct-2024,11.52
24950,07-Nov-2024,12.26
24950,14-Nov-2024,13.01
24950,28-Nov-2024,12.48
24950,26-Dec-2024,12.55
25000,24-Oct-2024,10.43
25000,31-Oct-2024,11.34
25000,07-Nov-2024,12.29
25000,14-Nov-2024,12.9
25000,21-Nov-2024,12.07
25000,28-Nov-2024,12.37
25000,26-Dec-2024,12.43
25000,27-Mar-2025,10.97
25000,26-Jun-2025,8.38
25050,24-Oct-2024,10.11
25050,31-Oct-2024,11.26
25050,07-Nov-2024,12.28
25050,28-Nov-2024,12.31
25050,26-Dec-2024,12.23
25100,24-Oct-2024,10.06
25100,31-Oct-2024,11.18
25100,07-Nov-2024,11.85
25100,14-Nov-2024,12.11
25100,28-Nov-2024,12.13
25100,26-Dec-2024,12.25
25150,24-Oct-2024,9.87
25150,31-Oct-2024,11.02
25150,07-Nov-2024,11.92
25150,14-Nov-2024,12.38
25150,28-Nov-2024,12.25
25150,26-Dec-2024,12.33
25200,24-Oct-2024,9.86
25200,31-Oct-2024,10.85
25200,07-Nov-2024,11.85
25200,14-Nov-2024,12.51
25200,21-Nov-2024,12.02
25200,28-Nov-2024,12.12
25200,26-Dec-2024,12.14
25250,24-Oct-2024,9.68
25250,31-Oct-2024,10.84
25250,07-Nov-2024,11.85
25250,14-Nov-2024,12.21
25250,28-Nov-2024,12.08
25250,26-Dec-2024,11.82
25300,24-Oct-2024,9.73
25300,31-Oct-2024,10.75
25300,07-Nov-2024,11.56
25300,14-Nov-2024,12.22
25300,28-Nov-2024,12.02
25300,26-Dec-2024,11.93
25350,24-Oct-2024,9.83
25350,31-Oct-2024,10.73
25350,07-Nov-2024,11.6
25350,14-Nov-2024,12.82
25350,28-Nov-2024,11.95
25350,26-Dec-2024,10.81
25400,24-Oct-2024,9.78
25400,31-Oct-2024,10.62
25400,07-Nov-2024,11.6
25400,14-Nov-2024,12.15
25400,28-Nov-2024,11.79
25400,26-Dec-2024,11.56
25450,24-Oct-2024,9.96
25450,31-Oct-2024,10.54
25450,07-Nov-2024,11.48
25450,28-Nov-2024,11.71
25500,24-Oct-2024,10.29
25500,31-Oct-2024,10.58
25500,07-Nov-2024,11.59
25500,14-Nov-2024,11.98
25500,28-Nov-2024,11.66
25500,26-Dec-2024,11.81
25550,24-Oct-2024,10.36
25550,31-Oct-2024,10.49
25550,07-Nov-2024,11.34
25550,28-Nov-2024,11.49
25550,26-Dec-2024,9.68
25600,24-Oct-2024,10.66
25600,31-Oct-2024,10.63
25600,07-Nov-2024,11.34
25600,14-Nov-2024,12.09
25600,28-Nov-2024,11.49
25600,26-Dec-2024,11.73
25650,24-Oct-2024,11.15
25650,31-Oct-2024,11.03
25650,07-Nov-2024,11.41
25650,14-Nov-2024,10.91
25650,28-Nov-2024,11.48
25700,24-Oct-2024,11.5
25700,31-Oct-2024,10.96
25700,07-Nov-2024,11.27
25700,14-Nov-2024,11.73
25700,28-Nov-2024,11.48
25700,26-Dec-2024,11.61
25750,24-Oct-2024,11.75
25750,31-Oct-2024,11.01
25750,07-Nov-2024,11.63
25750,14-Nov-2024,12.05
25750,28-Nov-2024,11.37
25800,24-Oct-2024,12.28
25800,31-Oct-2024,11.02
25800,07-Nov-2024,11.47
25800,14-Nov-2024,11.73
25800,21-Nov-2024,14.18
25800,28-Nov-2024,10.97
25800,26-Dec-2024,11.35
25850,24-Oct-2024,13.06
25850,31-Oct-2024,11.21
25850,07-Nov-2024,11.29
25850,28-Nov-2024,11.22
25900,24-Oct-2024,13.31
25900,31-Oct-2024,11.74
25900,07-Nov-2024,11.63
25900,14-Nov-2024,11.63
25900,28-Nov-2024,11.13
25900,26-Dec-2024,11.46
25950,24-Oct-2024,13.99
25950,31-Oct-2024,11.79
25950,07-Nov-2024,11.72
25950,21-Nov-2024,11.43
25950,28-Nov-2024,11.21
26000,24-Oct-2024,14.31
26000,31-Oct-2024,12.04
26000,07-Nov-2024,12.05
26000,14-Nov-2024,11.72
26000,28-Nov-2024,11.22
26000,26-Dec-2024,11.38
26000,27-Mar-2025,11.07
26000,24-Dec-2025,8.67
26050,24-Oct-2024,15.23
26050,31-Oct-2024,12.26
26050,07-Nov-2024,11.8
26050,14-Nov-2024,12.04
26050,21-Nov-2024,11.71
26050,28-Nov-2024,11.17
26100,24-Oct-2024,15.27
26100,31-Oct-2024,12.76
26100,07-Nov-2024,12.31
26100,14-Nov-2024,12.09
26100,21-Nov-2024,12.11
26100,28-Nov-2024,11.05
26100,26-Dec-2024,11.23
26150,24-Oct-2024,16.16
26150,31-Oct-2024,12.94
26150,07-Nov-2024,12.27
26150,28-Nov-2024,10.95
26200,24-Oct-2024,16.28
26200,31-Oct-2024,12.9
26200,07-Nov-2024,12.47
26200,14-Nov-2024,11.74
26200,28-Nov-2024,11.22
26200,26-Dec-2024,11.16
26250,24-Oct-2024,16.73
26250,31-Oct-2024,13.4
26250,07-Nov-2024,13.03
26250,14-Nov-2024,11.47
26250,28-Nov-2024,11.18
26250,26-Dec-2024,11.32
26300,24-Oct-2024,17.09
26300,31-Oct-2024,13.34
26300,07-Nov-2024,13.18
26300,14-Nov-2024,11.82
26300,28-Nov-2024,11.17
26300,26-Dec-2024,11.22
26350,24-Oct-2024,17.78
26350,31-Oct-2024,13.93
26350,07-Nov-2024,13.09
26350,28-Nov-2024,10.9
26400,24-Oct-2024,18.48
26400,31-Oct-2024,13.99
26400,07-Nov-2024,13.29
26400,14-Nov-2024,12.45
26400,28-Nov-2024,11.15
26400,26-Dec-2024,11.05
26450,24-Oct-2024,18.74
26450,31-Oct-2024,14.5
26450,07-Nov-2024,13.39
26450,28-Nov-2024,11.53
26500,24-Oct-2024,19.06
26500,31-Oct-2024,14.7
26500,07-Nov-2024,13.38
26500,14-Nov-2024,12.21
26500,21-Nov-2024,12.2
26500,28-Nov-2024,11.37
26500,26-Dec-2024,11.16
26550,24-Oct-2024,19.76
26550,31-Oct-2024,15.21
26550,07-Nov-2024,13.49
26550,14-Nov-2024,12.92
26550,28-Nov-2024,11.53
26600,24-Oct-2024,20.07
26600,31-Oct-2024,15.45
26600,07-Nov-2024,13.56
26600,14-Nov-2024,13.41
26600,28-Nov-2024,11.31
26600,26-Dec-2024,11.05
26650,24-Oct-2024,20.68
26650,31-Oct-2024,16.07
26650,07-Nov-2024,14.54
26650,14-Nov-2024,12.99
26650,28-Nov-2024,11.43
26650,26-Dec-2024,11.25
26700,24-Oct-2024,20.85
26700,31-Oct-2024,15.97
26700,07-Nov-2024,14.32
26700,28-Nov-2024,11.55
26700,26-Dec-2024,11.16
26750,24-Oct-2024,21.46
26750,31-Oct-2024,16.42
26750,07-Nov-2024,14.7
26750,14-Nov-2024,13.42
26750,28-Nov-2024,11.92
26800,24-Oct-2024,22.07
26800,31-Oct-2024,16.79
26800,07-Nov-2024,14.53
26800,28-Nov-2024,11.62
26800,26-Dec-2024,11.03
26850,24-Oct-2024,22.33
26850,31-Oct-2024,16.92
26850,07-Nov-2024,14.73
26850,28-Nov-2024,11.78
26850,26-Dec-2024,11.38
26900,24-Oct-2024,23.06
26900,31-Oct-2024,17.18
26900,07-Nov-2024,14.96
26900,14-Nov-2024,13.41
26900,28-Nov-2024,11.78
26900,26-Dec-2024,11.35
26950,24-Oct-2024,23.67
26950,31-Oct-2024,17.7
26950,07-Nov-2024,15.08
26950,28-Nov-2024,12.07
26950,26-Dec-2024,10.89
27000,24-Oct-2024,23.66
27000,31-Oct-2024,18.06
27000,07-Nov-2024,15.31
27000,28-Nov-2024,12.27
27000,26-Dec-2024,11.23
27000,27-Mar-2025,11.06
27000,26-Jun-2025,10.08
27000,24-Dec-2025,10.22
27050,24-Oct-2024,24.14
27050,31-Oct-2024,18.23
27050,28-Nov-2024,12.52
27050,26-Dec-2024,12.58
27100,24-Oct-2024,24.62
27100,31-Oct-2024,19.06
27100,28-Nov-2024,12.51
27100,26-Dec-2024,11.63
27150,24-Oct-2024,25.37
27150,31-Oct-2024,18.34
27150,28-Nov-2024,12.56
27200,24-Oct-2024,25.85
27200,31-Oct-2024,19.31
27200,28-Nov-2024,12.93
27250,24-Oct-2024,26.59
27250,31-Oct-2024,19.48
27250,28-Nov-2024,12.61
27300,24-Oct-2024,26.52
27300,31-Oct-2024,19.74
27300,28-Nov-2024,13.25
27300,26-Dec-2024,11.97
27350,24-Oct-2024,26.99
27350,31-Oct-2024,19.99
27350,28-Nov-2024,13.31
27350,26-Dec-2024,12.52
27400,24-Oct-2024,27.61
27400,31-Oct-2024,20.13
27400,28-Nov-2024,13.37
27400,26-Dec-2024,11.8
27450,24-Oct-2024,29.0
27450,31-Oct-2024,20.73
27450,28-Nov-2024,13.83
27450,26-Dec-2024,12.13
27500,24-Oct-2024,28.39
27500,31-Oct-2024,21.03
27500,28-Nov-2024,13.62
27500,26-Dec-2024,11.86
27550,24-Oct-2024,29.58
27550,31-Oct-2024,21.15
27550,28-Nov-2024,13.92
27550,26-Dec-2024,12.11
27600,24-Oct-2024,29.47
27600,31-Oct-2024,21.55
27600,28-Nov-2024,14.15
27600,26-Dec-2024,12.17
27650,24-Oct-2024,29.93
27650,31-Oct-2024,22.0
27650,28-Nov-2024,14.44
27650,26-Dec-2024,12.52
27700,24-Oct-2024,30.23
27700,31-Oct-2024,22.22
27700,28-Nov-2024,14.59
27700,26-Dec-2024,12.4
27750,24-Oct-2024,31.45
27750,31-Oct-2024,22.38
27750,28-Nov-2024,14.6
27800,24-Oct-2024,31.77
27800,31-Oct-2024,23.18
27800,28-Nov-2024,14.3
27850,24-Oct-2024,32.24
27850,31-Oct-2024,23.29
27900,24-Oct-2024,32.7
27900,31-Oct-2024,23.91
27900,28-Nov-2024,15.3
27900,26-Dec-2024,13.07
27950,24-Oct-2024,33.0
27950,31-Oct-2024,23.64
27950,28-Nov-2024,15.04
27950,26-Dec-2024,13.13
28000,26-Dec-2024,13.15
28000,27-Mar-2025,11.26
28000,26-Jun-2025,10.0
28000,24-Dec-2025,10.43
29000,26-Dec-2024,15.06
29000,27-Mar-2025,11.7
29000,26-Jun-2025,11.56
29000,24-Dec-2025,10.65
30000,26-Dec-2024,17.69
30000,27-Mar-2025,12.97
30000,24-Dec-2025,10.53
31000,26-Dec-2024,20.03
31000,27-Mar-2025,13.99
